,city,lat,lng,temp,humidity,wind,cloudiness,country,date
0,christchurch,-43.5333,172.6333,38.03,100,2.3,2,NZ,Wed Jun  2 15:36:14 2021
1,richards bay,-28.783,32.0377,61.05,80,6.42,1,ZA,Wed Jun  2 15:25:42 2021
2,bredasdorp,-34.5322,20.0403,55.27,94,8.08,31,ZA,Wed Jun  2 15:36:16 2021
3,hithadhoo,-0.6,73.0833,83.71,68,16.71,99,MV,Wed Jun  2 15:36:17 2021
4,vaini,-21.2,-175.2,69.96,83,2.3,75,TO,Wed Jun  2 15:36:18 2021
5,broome,42.2506,-75.833,68.77,87,1.99,90,US,Wed Jun  2 15:30:56 2021
6,tuktoyaktuk,69.4541,-133.0374,35.6,60,13.8,75,CA,Wed Jun  2 15:27:05 2021
7,atuona,-9.8,-139.0333,80.28,70,15.82,100,PF,Wed Jun  2 15:32:45 2021
8,busselton,-33.65,115.3333,59.88,70,2.37,100,AU,Wed Jun  2 15:36:19 2021
9,ribeira grande,38.5167,-28.7,64.8,55,9.22,20,PT,Wed Jun  2 15:36:20 2021
10,dikson,73.5069,80.5464,25.68,95,5.1,58,RU,Wed Jun  2 15:36:20 2021
11,pevek,69.7008,170.3133,33.53,72,2.08,18,RU,Wed Jun  2 15:36:20 2021
12,ardesen,41.1911,40.9875,62.56,85,14.74,100,TR,Wed Jun  2 15:33:27 2021
13,bluff,-46.6,168.3333,49.8,82,9.84,99,NZ,Wed Jun  2 15:36:21 2021
14,sept-iles,50.2001,-66.3821,72.12,48,8.01,75,CA,Wed Jun  2 15:34:56 2021
15,butaritari,3.0707,172.7902,82.99,78,14.56,100,KI,Wed Jun  2 15:36:22 2021
16,ancud,-41.8697,-73.8203,52.23,94,11.27,100,CL,Wed Jun  2 15:36:22 2021
17,hami,42.8,93.45,75.99,9,12.06,0,CN,Wed Jun  2 15:27:18 2021
18,rikitea,-23.1203,-134.9692,72.3,62,17.13,61,PF,Wed Jun  2 15:36:23 2021
19,saskylakh,71.9167,114.0833,34.99,88,18.41,100,RU,Wed Jun  2 15:36:23 2021
20,sitka,57.0531,-135.33,49.89,87,12.66,90,US,Wed Jun  2 15:36:24 2021
21,sumbe,-11.2061,13.8437,75.79,85,2.98,3,AO,Wed Jun  2 15:36:24 2021
22,khatanga,71.9667,102.5,33.51,86,1.3,100,RU,Wed Jun  2 15:36:25 2021
23,alofi,-19.0595,-169.9187,73.29,94,5.75,100,NU,Wed Jun  2 15:36:25 2021
24,kodiak,57.79,-152.4072,47.71,81,5.75,90,US,Wed Jun  2 15:36:25 2021
25,harrismith,-28.2728,29.1295,40.98,80,2.28,57,ZA,Wed Jun  2 15:36:26 2021
26,kalmunai,7.4167,81.8167,81.07,82,5.5,95,LK,Wed Jun  2 15:36:26 2021
27,hermanus,-34.4187,19.2345,61.9,80,13.85,31,ZA,Wed Jun  2 15:36:28 2021
28,kapaa,22.0752,-159.319,81.12,71,4.0,1,US,Wed Jun  2 15:36:29 2021
29,ushuaia,-54.8,-68.3,31.62,96,3.8,26,AR,Wed Jun  2 15:36:30 2021
30,hamilton,39.1834,-84.5333,67.21,95,4.0,90,US,Wed Jun  2 15:30:07 2021
31,jamestown,42.097,-79.2353,71.19,56,10.36,20,US,Wed Jun  2 15:33:13 2021
32,ilulissat,69.2167,-51.1,42.82,56,8.05,1,GL,Wed Jun  2 15:36:36 2021
33,bucine,43.4764,11.6148,69.19,77,4.27,40,IT,Wed Jun  2 15:36:37 2021
34,katangli,51.7102,143.2326,46.71,94,7.34,24,RU,Wed Jun  2 15:30:16 2021
35,anta,25.15,76.3,91.33,32,4.36,85,IN,Wed Jun  2 15:36:41 2021
36,luderitz,-26.6481,15.1594,67.71,29,13.53,0,NA,Wed Jun  2 15:27:24 2021
37,benghazi,32.1167,20.0667,75.88,49,13.87,86,LY,Wed Jun  2 15:36:44 2021
38,avarua,-21.2078,-159.775,78.85,69,13.8,38,CK,Wed Jun  2 15:36:46 2021
39,punta arenas,-53.15,-70.9167,33.91,69,5.19,0,CL,Wed Jun  2 15:33:02 2021
40,geraldton,-28.7667,114.6,54.01,82,10.98,0,AU,Wed Jun  2 15:36:49 2021
41,saint-pierre,-21.3393,55.4781,74.88,78,24.16,0,RE,Wed Jun  2 15:36:52 2021
42,constitucion,-35.3333,-72.4167,62.47,70,11.63,34,CL,Wed Jun  2 15:36:53 2021
43,port elizabeth,-33.918,25.5701,59.29,94,19.57,90,ZA,Wed Jun  2 15:36:54 2021
44,tezu,27.9167,96.1667,73.27,97,3.38,61,IN,Wed Jun  2 15:36:55 2021
45,victoria,22.2855,114.1577,85.32,90,1.01,100,HK,Wed Jun  2 15:36:44 2021
46,yellowknife,62.456,-114.3525,59.56,77,1.01,40,CA,Wed Jun  2 15:36:55 2021
47,albany,42.6001,-73.9662,79.9,64,3.29,100,US,Wed Jun  2 15:34:07 2021
48,pisco,-13.7,-76.2167,64.45,88,4.61,90,PE,Wed Jun  2 15:34:46 2021
49,clyde river,70.4692,-68.5914,28.63,86,4.61,90,CA,Wed Jun  2 15:32:12 2021
50,port alfred,-33.5906,26.891,59.59,89,18.41,95,ZA,Wed Jun  2 15:36:56 2021
51,sompeta,18.9333,84.6,83.79,78,5.88,0,IN,Wed Jun  2 15:36:57 2021
52,oktyabrskoye,43.0645,44.7417,60.94,88,0.63,100,RU,Wed Jun  2 15:36:57 2021
53,cozumel,20.5083,-86.9458,88.0,69,5.99,40,MX,Wed Jun  2 15:36:57 2021
54,riyadh,24.6877,46.7219,95.05,8,4.61,0,SA,Wed Jun  2 15:36:58 2021
55,aklavik,68.2191,-135.0107,36.32,86,4.61,90,CA,Wed Jun  2 15:36:58 2021
56,belaya gora,68.5333,146.4167,60.55,32,11.18,0,RU,Wed Jun  2 15:36:59 2021
57,georgetown,5.4112,100.3354,82.89,91,1.99,20,MY,Wed Jun  2 15:36:54 2021
58,hilo,19.7297,-155.09,78.8,76,3.44,90,US,Wed Jun  2 15:37:00 2021
59,mataura,-46.1927,168.8643,49.48,97,2.75,25,NZ,Wed Jun  2 15:37:01 2021
60,lompoc,34.6391,-120.4579,91.02,68,13.8,1,US,Wed Jun  2 15:37:01 2021
61,tuatapere,-46.1333,167.6833,49.82,90,4.81,45,NZ,Wed Jun  2 15:37:01 2021
62,kurilsk,45.2333,147.8833,45.18,72,2.35,28,RU,Wed Jun  2 15:37:02 2021
63,khash,28.2211,61.2158,84.07,9,6.04,0,IR,Wed Jun  2 15:37:02 2021
64,peniche,39.3558,-9.3811,63.88,79,21.14,72,PT,Wed Jun  2 15:37:03 2021
65,beyneu,45.3167,55.2,88.93,25,13.4,0,KZ,Wed Jun  2 15:37:03 2021
66,goderich,43.7501,-81.7165,78.03,35,5.75,100,CA,Wed Jun  2 15:28:21 2021
67,nemuro,43.3236,145.575,48.27,100,6.02,100,JP,Wed Jun  2 15:29:37 2021
68,tasiilaq,65.6145,-37.6368,39.36,81,5.39,33,GL,Wed Jun  2 15:37:04 2021
69,new norfolk,-42.7826,147.0587,51.93,76,1.01,77,AU,Wed Jun  2 15:37:04 2021
70,thompson,55.7435,-97.8558,78.96,34,12.66,75,CA,Wed Jun  2 15:37:05 2021
71,severo-kurilsk,50.6789,156.125,41.61,89,9.46,26,RU,Wed Jun  2 15:37:05 2021
72,hasaki,35.7333,140.8333,63.28,79,7.18,9,JP,Wed Jun  2 15:27:52 2021
73,katsuura,35.1333,140.3,69.12,82,8.88,4,JP,Wed Jun  2 15:37:06 2021
74,banda aceh,5.5577,95.3222,80.17,83,7.0,100,ID,Wed Jun  2 15:30:13 2021
75,quatre cocos,-20.2078,57.7625,76.08,68,17.78,90,MU,Wed Jun  2 15:29:53 2021
76,tiksi,71.6872,128.8694,47.05,83,10.33,100,RU,Wed Jun  2 15:37:07 2021
77,isangel,-19.55,169.2667,69.85,65,7.61,33,VU,Wed Jun  2 15:34:07 2021
